Status,Server,Name,Model,Processor,Proc. Count,Memory,Serial Number,iLO,iLO FW,ROM Version,Appliance Name
OK,ILOSGH311W3M8,SCCPPBLRESX504.sbicmpc.internal,ProLiant DL380 Gen10 Plus,Intel(R) Xeon(R) Silver 4314 CPU @ 2.40GHz,2,524288,SGH311W3M8,"1. 172.16.35.236, 2. fe80:0:0:0:5eed:8cff:fe43:8d2a",2.72 Sep 04 2022,U46 v1.68 (10/27/2022),DC-C7000-1
OK,ILOSGH340G1H1,SCCPPBLRESX516,ProLiant DL380 Gen10 Plus,Intel(R) Xeon(R) Gold 5320 CPU @ 2.20GHz,2,524288,SGH340G1H1,"1. 172.31.88.23, 2. fe80:0:0:0:5eed:8cff:feb2:d33e",3.04 Apr 17 2024,U46 v2.12 (06/14/2024),DC-C7000-1
OK,ILOSGH340G1H7,SCCPPBLRESX517.sbicmpc.internal,ProLiant DL380 Gen10 Plus,Intel(R) Xeon(R) Gold 5320 CPU @ 2.20GHz,2,524288,SGH340G1H7,"1. 172.31.88.24, 2. fe80:0:0:0:5eed:8cff:feb2:76c2",3.04 Apr 17 2024,U46 v2.12 (06/14/2024),DC-C7000-1
OK,ILOSGH340G1GY,sccppblresx518.SBICMPC.INTERNAL,ProLiant DL380 Gen10 Plus,Intel(R) Xeon(R) Gold 5320 CPU @ 2.20GHz,2,524288,SGH340G1GY,"1. 172.31.88.25, 2. fe80:0:0:0:5eed:8cff:feb2:d33c",3.07 Aug 09 2024,U46 v2.20 (08/07/2024),DC-C7000-1
OK,ILOSGH140V5P6,sccppblrdbo995,ProLiant DL380 Gen10,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,2,524288,SGH140V5P6,"1. 172.16.35.247, 2. fe80:0:0:0:b67a:f1ff:fee6:cfe",2.78 Dec 16 2022,U30 v2.76 (02/09/2023),DC-C7000-1
OK,ILOSGH248YDN4,SCCPPBLRESX523.SBICMPC.INTERNAL,ProLiant DL380 Gen10 Plus,Intel(R) Xeon(R) Silver 4314 CPU @ 2.40GHz,2,262144,SGH248YDN4,"1. 172.31.88.28, 2. fe80:0:0:0:5eed:8cff:fe3a:d628",3.07 Aug 09 2024,U46 v2.20 (08/07/2024),DC-C7000-1
OK,"SBICDCENCL19, bay 1",,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2623 v4 @ 2.60GHz,2,65536,SGH703VS1L,"1. 172.16.66.101, 2. fe80:0:0:0:7210:6fff:febb:c1d6",2.73 Feb 11 2020,I36 v2.76 (10/21/2019),DC-C7000-1
OK,"SBICDCENCL27, bay 1",,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2623 v4 @ 2.60GHz,2,131072,SGH708YNKL,"1. 172.16.67.60, 2. fe80:0:0:0:7210:6fff:febf:6f04",2.78 Apr 28 2021,I36 v2.90 (04/29/2021),DC-C7000-1
OK,"SBICDCENCL42, bay 1",sccptblresx325.sbicmpc.internal,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2670 v3 @ 2.30GHz,2,262144,SGH609V0EX,"1. 172.16.66.69, 2. fe80:0:0:0:7210:6fff:fe48:355c",2.82 Feb 06 2023,I36 v3.08 (01/12/2023),DC-C7000-1
OK,"SBICDCENCL50, bay 1",sccpublrapp555,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2623 v4 @ 2.60GHz,2,65536,SGH802WX2S,"1. 172.16.67.76, 2. fe80:0:0:0:d267:26ff:feca:a7fe",2.79 Nov 16 2021,I36 v2.90 (04/29/2021),DC-C7000-1
OK,"SBICDCENCL54, bay 1",,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,2,196608,SGH708YNXL,"1. 172.16.34.125, 2. fe80:0:0:0:7210:6fff:febf:6672",2.78 Apr 28 2021,I36 v2.90 (04/29/2021),DC-C7000-1
OK,"SBICDCENCL08, bay 1",sccppblrapp575,ProLiant BL460c Gen10,Intel(R) Xeon(R) Silver 4112 CPU @ 2.60GHz,2,65536,SGH951Y3WL,"1. 172.16.40.206, 2. fe80:0:0:0:9640:c9ff:fe24:662",2.42 Apr 05 2021,I41 v2.42 (01/23/2021),DC-C7000-1
OK,"SBICDCENCL46, bay 1",sccpublrdbo353,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2670 v3 @ 2.30GHz,2,262144,SGH610V59P,"1. 172.16.66.147, 2. fe80:0:0:0:7210:6fff:fe4a:7e2a",2.73 Feb 11 2020,I36 v2.76 (10/21/2019),DC-C7000-1
OK,"SBICDCENCL02, bay 1",sccppblrdbo677,ProLiant BL460c Gen10,Intel(R) Xeon(R) Silver 4215 CPU @ 2.50GHz,2,262144,SGH024WFCX,"1. 172.16.40.62, 2. fe80:0:0:0:9640:c9ff:fef7:c8f2",2.42 Apr 05 2021,I41 v2.42 (01/23/2021),DC-C7000-1
OK,"SBICDCENCL25, bay 1",,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2623 v4 @ 2.60GHz,2,131072,SGH703VS0B,"1. 172.16.42.10, 2. fe80:0:0:0:7210:6fff:fe4b:7320",2.78 Apr 28 2021,I36 v2.90 (04/29/2021),DC-C7000-1
Critical,"SBICDCENCL15, bay 1",sccppblresx283.sbicmpc.internal,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2670 v3 @ 2.30GHz,2,262144,SGH610V59E,"1. 172.16.41.82, 2. fe80:0:0:0:7210:6fff:fe4a:7e1e",2.82 Feb 06 2023,I36 v3.08 (01/12/2023),DC-C7000-1
Warning,"SBICDCENCL33, bay 1",,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2670 v3 @ 2.30GHz,2,196608,SGH610V596,1. 172.16.67.184,2.73 Feb 11 2020,I36 v2.76 (10/21/2019),DC-C7000-1
Critical,"SBICDCENCL06, bay 1",sccppblrapp562,ProLiant BL460c Gen10,Intel(R) Xeon(R) Silver 4112 CPU @ 2.60GHz,2,65536,SGH929YNPY,"1. 172.16.40.158, 2. fe80:0:0:0:af1:eaff:feec:7544",2.42 Apr 05 2021,I41 v2.42 (01/23/2021),DC-C7000-1
OK,"SBICDCENCL26, bay 1",sccppblrapp060,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,2,262144,SGH610V531,"1. 172.16.42.34, 2. fe80:0:0:0:7210:6fff:fe4b:7344",2.79 Nov 16 2021,I36 v2.90 (04/29/2021),DC-C7000-1
OK,"SBICDCENCL48, bay 1",sccpublrapp558,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2623 v4 @ 2.60GHz,2,65536,SGH703VS13,"1. 172.16.66.163, 2. fe80:0:0:0:7210:6fff:febb:cc70",2.74 May 08 2020,I36 v2.76 (10/21/2019),DC-C7000-1
OK,"SBICDCENCL10, bay 1",sccppblrapp564,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2623 v4 @ 2.60GHz,2,65536,SGH703VS0Y,"1. 172.16.41.10, 2. fe80:0:0:0:7210:6fff:febb:cd2c",2.78 Apr 28 2021,I36 v2.90 (04/29/2021),DC-C7000-1
OK,"SBICDCENCL07, bay 1",sccppblresx249.sbicmpc.internal,ProLiant BL460c Gen10,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,2,393216,SGH930SGMC,"1. 172.16.40.182, 2. fe80:0:0:0:af1:eaff:fe92:edf0",2.78 Dec 16 2022,I41 v2.76 (02/09/2023),DC-C7000-1
OK,"SBICDCENCL04, bay 1",sccppblrdbo679,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,2,262144,SGH610V5DC,"1. 172.16.40.110, 2. fe80:0:0:0:7210:6fff:fe4a:7ed8",2.78 Apr 28 2021,I36 v2.90 (04/29/2021),DC-C7000-1
OK,"SBICDCENCL09, bay 1",sccppblresx250.sbicmpc.internal,ProLiant BL460c Gen10,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,2,393216,SGH930SGM9,"1. 172.16.40.230, 2. fe80:0:0:0:af1:eaff:fe92:ed2e",2.78 Dec 16 2022,I41 v2.76 (02/09/2023),DC-C7000-1
OK,"SBICDCENCL21, bay 1",sccppblrdbo971,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,2,131072,SGH610V549,"1. 172.16.41.226, 2. fe80:0:0:0:7210:6fff:fe4a:ba8a",2.78 Apr 28 2021,I36 v2.90 (04/29/2021),DC-C7000-1
OK,"SBICDCENCL18, bay 1",SCCPPBLRAPP739,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2670 v3 @ 2.30GHz,2,196608,SGH610V59V,"1. 172.16.41.154, 2. fe80:0:0:0:7210:6fff:fe4a:bbf0",2.82 Feb 06 2023,I36 v3.08 (01/12/2023),DC-C7000-1
OK,"SBICDCENCL09, bay 2",sccppblresx259.sbicmpc.internal,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,2,393216,SGH830Y7LC,"1. 172.16.40.231, 2. fe80:0:0:0:ba83:3ff:fe4a:6586",2.82 Feb 06 2023,I36 v3.08 (01/12/2023),DC-C7000-1
Critical,"SBICDCENCL06, bay 2",sccppblrdbo905,ProLiant BL460c Gen10,Intel(R) Xeon(R) Silver 4215 CPU @ 2.50GHz,2,262144,SGH024WFCQ,"1. 172.16.40.159, 2. fe80:0:0:0:9640:c9ff:fef7:ca0e",2.42 Apr 05 2021,I41 v2.42 (01/23/2021),DC-C7000-1
OK,"SBICDCENCL50, bay 2",sccpublrapp865,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,2,131072,SGH736X9X3,"1. 172.16.67.77, 2. fe80:0:0:0:9af2:b3ff:feeb:23f0",2.79 Nov 16 2021,I36 v2.76 (10/21/2019),DC-C7000-1
Warning,"SBICDCENCL15, bay 2",SCCPPBLRESX307.sbicmpc.internal,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,2,327680,SGH703VKAT,"1. 172.16.41.83, 2. fe80:0:0:0:7210:6fff:febb:cd48",2.77 Dec 07 2020,I36 v2.80 (10/16/2020),DC-C7000-1
OK,"SBICDCENCL42, bay 2",,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,2,262144,SGH736X88D,"1. 172.16.66.70, 2. fe80:0:0:0:9af2:b3ff:feeb:1d16",2.78 Apr 28 2021,I36 v2.90 (04/29/2021),DC-C7000-1
OK,"SBICDCENCL54, bay 2",localhost,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,2,131072,SGH610V5CC,"1. 172.16.34.126, 2. fe80:0:0:0:7210:6fff:fe4a:7f40",2.78 Apr 28 2021,I36 v2.90 (04/29/2021),DC-C7000-1
OK,"SBICDCENCL33, bay 2",,ProLiant BL460c Gen10,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,2,262144,SGH010TK3R,1. 172.16.67.185,2.55 Oct 01 2021,I41 v2.54 (09/03/2021),DC-C7000-1
OK,"SBICDCENCL19, bay 2",,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,2,262144,SGH742X94R,"1. 172.16.66.102, 2. fe80:0:0:0:d267:26ff:fed2:8f14",2.79 Nov 16 2021,I36 v2.90 (04/29/2021),DC-C7000-1
OK,"SBICDCENCL49, bay 2",,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,2,131072,SGH610V5EM,1. 172.16.66.212,2.78 Apr 28 2021,I36 v2.90 (04/29/2021),DC-C7000-1
OK,"SBICDCENCL04, bay 2",SCCPPBLRDBS064,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,2,131072,SGH610V5E8,"1. 172.16.40.111, 2. fe80:0:0:0:7210:6fff:fe4a:7ec4",2.79 Nov 16 2021,I36 v2.90 (04/29/2021),DC-C7000-1
OK,"SBICDCENCL08, bay 2",sccppblrdbo369,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,262144,SGH821W9P9,"1. 172.16.40.207, 2. fe80:0:0:0:d267:26ff:fed5:a0de",2.79 Nov 16 2021,I36 v2.90 (04/29/2021),DC-C7000-1
OK,"SBICDCENCL48, bay 2",sccpublrapp625,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2,98304,SGH610V8FE,"1. 172.16.66.164, 2. fe80:0:0:0:7210:6fff:fe4a:8c5a",2.73 Feb 11 2020,I36 v2.76 (10/21/2019),DC-C7000-1
OK,"SBICDCENCL46, bay 2",sccppblresx305.sbicmpc.internal,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,2,393216,SGH703VKBD,"1. 172.16.66.148, 2. fe80:0:0:0:7210:6fff:febb:cdd6",2.82 Feb 06 2023,I36 v3.08 (01/12/2023),DC-C7000-1
OK,"SBICDCENCL26, bay 2",sccppblresx238.sbicmpc.internal,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz,2,524288,SGH905YT9S,"1. 172.16.42.35, 2. fe80:0:0:0:af1:eaff:fe8f:98a2",2.82 Feb 06 2023,I36 v3.08 (01/12/2023),DC-C7000-1
OK,"SBICDCENCL21, bay 2",,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2623 v4 @ 2.60GHz,2,131072,SGH703VS09,"1. 172.16.41.227, 2. fe80:0:0:0:7210:6fff:febb:cda0",2.79 Nov 16 2021,I36 v2.90 (04/29/2021),DC-C7000-1
OK,"SBICDCENCL10, bay 2",sccppblrapp672,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,2,131072,SGH610V5D8,"1. 172.16.41.11, 2. fe80:0:0:0:7210:6fff:fe4a:4c02",2.78 Apr 28 2021,I36 v2.90 (04/29/2021),DC-C7000-1
OK,"SBICDCENCL02, bay 2",sccppblrdbo045,ProLiant BL460c Gen10,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,2,524288,SGH038VMNM,"1. 172.16.40.63, 2. fe80:0:0:0:b67a:f1ff:fe3e:99bc",2.42 Apr 05 2021,I41 v2.42 (01/23/2021),DC-C7000-1
Warning,"SBICDCENCL27, bay 2",,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,2,131072,SGH504W34X,"1. 172.16.67.61, 2. fe80:0:0:0:fe15:b4ff:fe92:5d0a",2.78 Apr 28 2021,I36 v2.90 (04/29/2021),DC-C7000-1
OK,"SBICDCENCL43, bay 2",,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,2,262144,SGH808VB5B,1. 172.16.42.82,2.78 Apr 28 2021,I36 v2.90 (04/29/2021),DC-C7000-1
OK,"SBICDCENCL18, bay 2",,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,2,262144,SGH610V5CX,"1. 172.16.41.155, 2. fe80:0:0:0:7210:6fff:fe4a:8cfc",2.78 Apr 28 2021,I36 v2.90 (04/29/2021),DC-C7000-1
OK,"SBICDCENCL07, bay 2",SCCPPBLRESX330.sbicmpc.internal,ProLiant BL460c Gen10,Intel(R) Xeon(R) Gold 5120 CPU @ 2.20GHz,2,393216,SGH929S3CQ,"1. 172.16.40.183, 2. fe80:0:0:0:af1:eaff:fef0:dcd0",2.78 Dec 16 2022,I41 v2.76 (02/09/2023),DC-C7000-1
OK,"SBICDCENCL43, bay 3",sccppblresx298.sbicmpc.internal,ProLiant BL460c Gen10,Intel(R) Xeon(R) Gold 5120 CPU @ 2.20GHz,2,393216,SGH918WN05,1. 172.16.42.83,2.78 Dec 16 2022,I41 v2.76 (02/09/2023),DC-C7000-1
OK,"SBICDCENCL25, bay 3",sccppblrapp382,ProLiant BL460c Gen10,Intel(R) Xeon(R) Silver 4215 CPU @ 2.50GHz,2,65536,SGH024WFCL,"1. 172.16.42.12, 2. fe80:0:0:0:9640:c9ff:fef7:c848",2.42 Apr 05 2021,I41 v2.42 (01/23/2021),DC-C7000-1
OK,"SBICDCENCL46, bay 3",SCCPUBLRAPP680,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2623 v4 @ 2.60GHz,2,32768,SGH703VRNP,"1. 172.16.66.149, 2. fe80:0:0:0:7210:6fff:febe:2c96",2.82 Feb 06 2023,I36 v3.08 (01/12/2023),DC-C7000-1
OK,"SBICDCENCL21, bay 3",sccppblrapp711,ProLiant BL460c Gen10,Intel(R) Xeon(R) Silver 4215 CPU @ 2.50GHz,2,262144,SGH015YJJG,"1. 172.16.41.228, 2. fe80:0:0:0:9640:c9ff:fe20:574e",2.42 Apr 05 2021,I41 v2.42 (01/23/2021),DC-C7000-1
OK,"SBICDCENCL15, bay 3",sccppblresx224.sbicmpc.internal,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,2,393216,SGH742X94Y,"1. 172.16.41.84, 2. fe80:0:0:0:7210:6fff:fec7:ca1a",2.82 Feb 06 2023,I36 v3.08 (01/12/2023),DC-C7000-1
OK,"SBICDCENCL49, bay 3",,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2670 v3 @ 2.30GHz,2,262144,SGH742X937,1. 172.16.66.213,2.78 Apr 28 2021,I36 v2.90 (04/29/2021),DC-C7000-1
OK,"SBICDCENCL50, bay 3",sccpublrapp453,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,2,131072,SGH610V54F,"1. 172.16.67.78, 2. fe80:0:0:0:7210:6fff:fe4a:8c8a",2.73 Feb 11 2020,I36 v2.76 (10/21/2019),DC-C7000-1
OK,"SBICDCENCL09, bay 3",sccppblresx254.sbicmpc.internal,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz,2,393216,SGH905YT9Q,"1. 172.16.40.232, 2. fe80:0:0:0:af1:eaff:fe8f:9988",2.82 Feb 06 2023,I36 v3.08 (01/12/2023),DC-C7000-1
Critical,"SBICDCENCL06, bay 3",,ProLiant BL460c Gen10,Intel(R) Xeon(R) Gold 5120 CPU @ 2.20GHz,2,262144,SGH929S3D3,"1. 172.16.40.160, 2. fe80:0:0:0:af1:eaff:feed:9424",2.42 Apr 05 2021,I41 v2.42 (01/23/2021),DC-C7000-1
OK,"SBICDCENCL27, bay 3",,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2623 v4 @ 2.60GHz,2,131072,SGH703VRP2,"1. 172.16.67.62, 2. fe80:0:0:0:7210:6fff:febe:3d28",2.78 Apr 28 2021,I36 v2.90 (04/29/2021),DC-C7000-1
Warning,"SBICDCENCL48, bay 3",sccpublrapp506,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,2,65536,SGH610V5D6,"1. 172.16.66.165, 2. fe80:0:0:0:7210:6fff:fe4a:bcc8",2.74 May 08 2020,I36 v2.76 (10/21/2019),DC-C7000-1
OK,"SBICDCENCL33, bay 3",,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2623 v4 @ 2.60GHz,2,131072,SGH739TFWS,1. 172.16.67.186,2.78 Apr 28 2021,I36 v2.90 (04/29/2021),DC-C7000-1
OK,"SBICDCENCL19, bay 3",,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,2,262144,SGH742X94T,"1. 172.16.66.103, 2. fe80:0:0:0:7210:6fff:fec6:346a",2.79 Nov 16 2021,I36 v2.90 (04/29/2021),DC-C7000-1
OK,"SBICDCENCL42, bay 3",sccptblresx326.sbicmpc.internal,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2670 v3 @ 2.30GHz,2,262144,SGH610V56M,"1. 172.16.66.71, 2. fe80:0:0:0:7210:6fff:fe4a:8c2a",2.82 Feb 06 2023,I36 v3.08 (01/12/2023),DC-C7000-1
OK,"SBICDCENCL04, bay 3",sccppblrdbo106,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,262144,SGH821W9P7,"1. 172.16.40.112, 2. fe80:0:0:0:d267:26ff:fed5:9fa8",2.79 Nov 16 2021,I36 v2.90 (04/29/2021),DC-C7000-1
OK,"SBICDCENCL10, bay 3",sccppblrapp462,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,2,131072,SGH610V5DP,"1. 172.16.41.12, 2. fe80:0:0:0:7210:6fff:fe48:3a8c",2.79 Nov 16 2021,I36 v2.96 (05/17/2022),DC-C7000-1
OK,"SBICDCENCL07, bay 3",sccppblresx253.sbicmpc.internal,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz,2,393216,SGH905YT9X,"1. 172.16.40.184, 2. fe80:0:0:0:af1:eaff:fe8f:9870",2.82 Feb 06 2023,I36 v3.08 (01/12/2023),DC-C7000-1
OK,"SBICDCENCL08, bay 3",sccppblrdbo107,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,262144,SGH831YFHS,"1. 172.16.40.208, 2. fe80:0:0:0:7210:6fff:fe50:29e2",2.79 Nov 16 2021,I36 v2.90 (04/29/2021),DC-C7000-1
OK,"SBICDCENCL18, bay 3",,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,2,262144,SGH736XA1Y,"1. 172.16.41.156, 2. fe80:0:0:0:9af2:b3ff:feeb:25ce",2.78 Apr 28 2021,I36 v2.90 (04/29/2021),DC-C7000-1
OK,"SBICDCENCL02, bay 3",sccppblrdbo563,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,2,262144,SGH610V5EV,"1. 172.16.40.64, 2. fe80:0:0:0:7210:6fff:fe4a:7ea8",2.78 Apr 28 2021,I36 v2.90 (04/29/2021),DC-C7000-1
Warning,"SBICDCENCL48, bay 4",sccpublrapp560,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2623 v4 @ 2.60GHz,2,65536,SGH703VS1B,"1. 172.16.66.166, 2. fe80:0:0:0:7210:6fff:febb:c3a6",2.78 Apr 28 2021,I36 v2.90 (04/29/2021),DC-C7000-1
OK,"SBICDCENCL50, bay 4",,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,262144,SGH821W9PT,"1. 172.16.67.79, 2. fe80:0:0:0:d267:26ff:fed5:a0f6",2.74 May 08 2020,I36 v2.76 (10/21/2019),DC-C7000-1
OK,"SBICDCENCL08, bay 4",,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,65536,SGH831YFHQ,"1. 172.16.40.209, 2. fe80:0:0:0:ba83:3ff:fe4a:67f0",2.79 Nov 16 2021,I36 v2.90 (04/29/2021),DC-C7000-1
OK,"SBICDCENCL42, bay 4",,ProLiant BL460c Gen10,Intel(R) Xeon(R) Gold 5120 CPU @ 2.20GHz,2,262144,SGH929S3CX,"1. 172.16.66.72, 2. fe80:0:0:0:af1:eaff:fef0:dc8e",2.30 Aug 24 2020,I41 v2.36 (07/16/2020),DC-C7000-1
OK,"SBICDCENCL15, bay 4",sccppblresx225.sbicmpc.internal,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,2,393216,SGH808VB55,"1. 172.16.41.85, 2. fe80:0:0:0:d267:26ff:fecd:bb00",2.82 Feb 06 2023,I36 v3.08 (01/12/2023),DC-C7000-1
OK,"SBICDCENCL33, bay 4",,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,262144,SGH821W9PJ,1. 172.16.67.187,2.78 Apr 28 2021,I36 v2.90 (04/29/2021),DC-C7000-1
OK,"SBICDCENCL49, bay 4",,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,2,262144,SGH802WS1D,1. 172.16.66.214,2.78 Apr 28 2021,I36 v2.90 (04/29/2021),DC-C7000-1
OK,"SBICDCENCL02, bay 4",SCCPPBLRAPP746,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,2,196608,SGH808VTKJ,"1. 172.16.40.65, 2. fe80:0:0:0:d267:26ff:fecd:ba6e",2.82 Feb 06 2023,I36 v3.08 (01/12/2023),DC-C7000-1
Critical,"SBICDCENCL18, bay 4",,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2623 v4 @ 2.60GHz,2,131072,SGH703VRNV,"1. 172.16.41.157, 2. fe80:0:0:0:7210:6fff:febe:3d34",2.73 Feb 11 2020,I36 10/21/2019,DC-C7000-1
OK,"SBICDCENCL09, bay 4",sccppblresx260.sbicmpc.internal,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz,2,393216,SGH905YT9Z,"1. 172.16.40.233, 2. fe80:0:0:0:af1:eaff:fe8f:9788",2.82 Feb 06 2023,I36 v3.08 (01/12/2023),DC-C7000-1
OK,"SBICDCENCL46, bay 4",sccpublrdbo433,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,2,131072,SGH610V5DV,"1. 172.16.66.150, 2. fe80:0:0:0:7210:6fff:fe4a:7f94",2.73 Feb 11 2020,I36 v2.76 (10/21/2019),DC-C7000-1
OK,"SBICDCENCL21, bay 4",sccppblrapp712,ProLiant BL460c Gen10,Intel(R) Xeon(R) Silver 4215 CPU @ 2.50GHz,2,262144,SGH024WFCS,"1. 172.16.41.229, 2. fe80:0:0:0:9640:c9ff:fef7:cac2",2.42 Apr 05 2021,I41 v2.42 (01/23/2021),DC-C7000-1
OK,"SBICDCENCL25, bay 4",sccppblrapp790,ProLiant BL460c Gen10,Intel(R) Xeon(R) Silver 4215 CPU @ 2.50GHz,2,65536,SGH015YK2B,"1. 172.16.42.13, 2. fe80:0:0:0:9640:c9ff:feee:7ad0",2.42 Apr 05 2021,I41 v2.42 (01/23/2021),DC-C7000-1
OK,"SBICDCENCL26, bay 4",sccppblrapp659,ProLiant BL460c Gen10,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,2,262144,SGH038VMNC,"1. 172.16.42.37, 2. fe80:0:0:0:b67a:f1ff:fe3e:9526",2.55 Oct 01 2021,I41 v2.54 (09/03/2021),DC-C7000-1
OK,"SBICDCENCL04, bay 4",sccppblrdbo046,ProLiant BL460c Gen10,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,2,524288,SGH046VP7R,"1. 172.16.40.113, 2. fe80:0:0:0:b67a:f1ff:fe9f:c25c",2.42 Apr 05 2021,I41 v2.42 (01/23/2021),DC-C7000-1
OK,"SBICDCENCL10, bay 4",sccppblrapp568,ProLiant BL460c Gen9,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,2,262144,SGH610V545,"1. 172.16.41.13, 2. fe80:0:0:0:7210:6fff:fe48:38d6",2.78 Apr 28 2021,I36 v2.90 (04/29/2021),DC-C7000-1
